buff_cd,average_monthly_residential_rental_price,building_density,green_space_density,road_length,transportation_hubs,daily_avg_footfall,weekly_avg_footfall,consumer_digital_expenditure,total_digital_consumers,elderly_population,female_population,female_population_15_to_49years,kids_population,male_population,population,population_density,youth_population,average_monthly_commercial_rental_price
buff0001,37.80407357,346.705,0.044390478,143343.0164,126,230.6,1383.8,2873736,183300,25718,160546,94541,26551,185424,345969,51637.16418,67433,224.2316667
buff0002,37.80407357,346.705,0.044390478,143343.0164,126,230.6,1383.8,2873736,183300,25718,160546,94541,26551,185424,345969,51637.16418,67433,224.2316667
buff0003,42.8737978,242.098,0.040565997,117779.6992,164,296.2,1777.8,1385288,127765,23504,131982,78164,19844,153517,285500,42611.9403,56168,180.275
buff0004,31.09939024,419.769,0.008880326,143864.6004,127,166,354.4,1579265,101513,3121,22462,13152,3955,24574,47035,7020.149253,9077,205.494
buff0005,24.09361861,135.066,0.016399736,67650.56304,1,196,407.5,105051,4406,1571,7942,4471,1369,8938,16878,2519.104478,3170,101.705
buff0006,34.54212454,413.122,0.015950604,114988.8135,74,186.1,474.9,300491,17187,2254,16219,9497,2859,17745,33964,5069.253732,6555,127.07875
buff0007,49.16932174,290.691,0.021699723,160974.621,135,349.6,2096.6,2569568,165790,27103,152188,90131,22883,177019,329207,49135.37313,64764,262.2728571
buff0008,57.5593657,284.619,0.009512611,129497.8919,210,316.8,1900.2,13361491,183758,29382,164994,97713,24806,191909,356904,53269.25373,70214,260.112
buff0009,74.0625356,365.713,0.015570778,134801.3089,130,234.1,1404.3,15688990,174142,22965,128958,76374,19387,149998,278956,41635.22388,54879,258.67
buff0010,49.9771607,233.247,0.059174651,113508.0642,59,146,875.7,1075806,99052,16769,94167,55770,14157,109528,203695,30402.23881,40072,512.96375
buff0011,96.63517358,419.3327273,0.024396719,144192.9185,90,212.2727273,1274.181818,16384408,181862,24293,136415,80790,20510,158669,295083,40038.39891,58051,348.0375
buff0012,49.57206822,143.4809091,0.039454042,123521.6654,23,65,390.0909091,10225385,179845,19972,104279,61322,15113,122819,227098,30813.83989,44559,180
buff0013,221.9969766,403.4908333,0.008743525,142368.6697,91,289.5,1736.416667,17373767,192840,23360,131174,77685,19721,152574,283747,35291.91542,55821,601.448
buff0015,114.2230896,369.3075,0.003136498,136619.0174,113,233.5,1400.5,13750181,152621,25861,145221,86005,21834,168911,314131,39071.0199,61799,353.994
buff0016,110.2523376,240.515,0.030468068,76605.65426,51,184,1104.375,5544856,146487,18035,84148,48890,11423,101195,185343,34578.91791,36206,299.035
buff0017,79.79944243,241.8841667,0.000708167,164813.2469,905,347.0833333,2081.916667,9388109,248021,31388,146460,85096,19882,176134,322597,40124.00498,63018,295.7425
buff0018,79.79944243,241.8841667,0.000708167,164813.2469,905,347.0833333,2081.916667,9388109,248021,31388,146460,85096,19882,176134,322597,40124.00498,63018,295.7425
buff0019,79.79944243,241.8841667,0.000708167,164813.2469,905,347.0833333,2081.916667,9388109,248021,31388,146460,85096,19882,176134,322597,40124.00498,63018,295.7425
buff0020,79.79944243,241.8841667,0.000708167,164813.2469,905,347.0833333,2081.916667,9388109,248021,31388,146460,85096,19882,176134,322597,40124.00498,63018,295.7425
buff0021,116.5416345,197.335,0.013775885,63941.03776,13,82,491.75,4041819,106779,12454,58112,33763,7888,69885,127995,23879.66418,25004,382.9375
